SITE_ID,Precision,Recall
AU-ASM,0.6875,0.47826087
AU-Cpr,0.181818182,0.090909091
AU-DaP,0.5,0.5
AU-Stp,0.666666667,0.461538462
ES-Abr,0.6875,0.578947368
ES-Agu,0.444444444,0.333333333
ES-LM1,0.8,0.666666667
ES-LM2,0.571428571,0.615384615
US-Cop,1,0.363636364
US-Jo1,0.333333333,0.1
US-Jo2,0.285714286,0.2
US-LS2,1,0.285714286
US-Mpj,0.75,0.272727273
US-Rls,0.5,0.571428571
US-Rms,0.375,0.25
US-Rwf,0.285714286,0.25
US-Rws,0.714285714,0.263157895
US-Seg,0.714285714,0.394736842
US-Ses,0.722222222,0.565217391
US-SRC,1,0.266666667
US-SRG,0.75,0.428571429
US-SRM,0.578947368,0.47826087
US-SRS,0.4,0.25
US-Ton,0.666666667,0.363636364
US-Var,0.818181818,0.5625
US-Whs,0.588235294,0.416666667
US-Wjs,0.333333333,0.105263158
US-Wkg,0.714285714,0.357142857